N;AvoreAVL-Ordenada;AvoreRubroNegra-Ordenada;
1;1;0;
2;4;1;
3;11;5;
4;16;8;
5;25;13;
6;34;17;
7;43;23;
8;50;30;
9;61;36;
10;72;42;
11;83;49;
12;94;57;
13;105;64;
14;116;71;
15;127;79;
16;136;88;
17;149;96;
18;162;106;
19;175;114;
20;188;123;
21;201;131;
22;214;140;
23;227;149;
24;240;159;
25;253;168;
26;266;179;
27;279;188;
28;292;198;
29;305;207;
30;318;217;
31;331;227;
32;342;238;
33;357;248;
34;372;260;
35;387;270;
36;402;281;
37;417;291;
38;432;304;
39;447;314;
40;462;325;
41;477;335;
42;492;347;
43;507;357;
44;522;368;
45;537;378;
46;552;390;
47;567;401;
48;582;413;
49;597;424;
50;612;437;
51;627;448;
52;642;460;
53;657;471;
54;672;485;
55;687;496;
56;702;508;
57;717;519;
58;732;532;
59;747;543;
60;762;555;
61;777;566;
62;792;579;
63;807;591;
64;820;604;
65;837;616;
66;854;630;
67;871;642;
68;888;655;
69;905;667;
70;922;682;
71;939;694;
72;956;707;
73;973;719;
74;990;733;
75;1007;745;
76;1024;758;
77;1041;770;
78;1058;786;
79;1075;798;
80;1092;811;
81;1109;823;
82;1126;837;
83;1143;849;
84;1160;862;
85;1177;874;
86;1194;889;
87;1211;901;
88;1228;914;
89;1245;926;
90;1262;940;
91;1279;952;
92;1296;965;
93;1313;977;
94;1330;992;
95;1347;1005;
96;1364;1019;
97;1381;1032;
98;1398;1047;
99;1415;1060;
100;1432;1074;
101;1449;1087;
102;1466;1103;
103;1483;1116;
104;1500;1130;
105;1517;1143;
106;1534;1158;
107;1551;1171;
108;1568;1185;
109;1585;1198;
110;1602;1215;
111;1619;1228;
112;1636;1242;
113;1653;1255;
114;1670;1270;
115;1687;1283;
116;1704;1297;
117;1721;1310;
118;1738;1326;
119;1755;1339;
120;1772;1353;
121;1789;1366;
122;1806;1381;
123;1823;1394;
124;1840;1408;
125;1857;1421;
126;1874;1437;
127;1891;1451;
128;1906;1466;
129;1925;1480;
130;1944;1496;
131;1963;1510;
132;1982;1525;
133;2001;1539;
134;2020;1556;
135;2039;1570;
136;2058;1585;
137;2077;1599;
138;2096;1615;
139;2115;1629;
140;2134;1644;
141;2153;1658;
142;2172;1676;
143;2191;1690;
144;2210;1705;
145;2229;1719;
146;2248;1735;
147;2267;1749;
148;2286;1764;
149;2305;1778;
150;2324;1795;
151;2343;1809;
152;2362;1824;
153;2381;1838;
154;2400;1854;
155;2419;1868;
156;2438;1883;
157;2457;1897;
158;2476;1916;
159;2495;1930;
160;2514;1945;
161;2533;1959;
162;2552;1975;
163;2571;1989;
164;2590;2004;
165;2609;2018;
166;2628;2035;
167;2647;2049;
168;2666;2064;
169;2685;2078;
170;2704;2094;
171;2723;2108;
172;2742;2123;
173;2761;2137;
174;2780;2155;
175;2799;2169;
176;2818;2184;
177;2837;2198;
178;2856;2214;
179;2875;2228;
180;2894;2243;
181;2913;2257;
182;2932;2274;
183;2951;2288;
184;2970;2303;
185;2989;2317;
186;3008;2333;
187;3027;2347;
188;3046;2362;
189;3065;2376;
190;3084;2394;
191;3103;2409;
192;3122;2425;
193;3141;2440;
194;3160;2457;
195;3179;2472;
196;3198;2488;
197;3217;2503;
198;3236;2521;
199;3255;2536;
200;3274;2552;
201;3293;2567;
202;3312;2584;
203;3331;2599;
204;3350;2615;
205;3369;2630;
206;3388;2649;
207;3407;2664;
208;3426;2680;
209;3445;2695;
210;3464;2712;
211;3483;2727;
212;3502;2743;
213;3521;2758;
214;3540;2776;
215;3559;2791;
216;3578;2807;
217;3597;2822;
218;3616;2839;
219;3635;2854;
220;3654;2870;
221;3673;2885;
222;3692;2905;
223;3711;2920;
224;3730;2936;
225;3749;2951;
226;3768;2968;
227;3787;2983;
228;3806;2999;
229;3825;3014;
230;3844;3032;
231;3863;3047;
232;3882;3063;
233;3901;3078;
234;3920;3095;
235;3939;3110;
236;3958;3126;
237;3977;3141;
238;3996;3160;
239;4015;3175;
240;4034;3191;
241;4053;3206;
242;4072;3223;
243;4091;3238;
244;4110;3254;
245;4129;3269;
246;4148;3287;
247;4167;3302;
248;4186;3318;
249;4205;3333;
250;4224;3350;
251;4243;3365;
252;4262;3381;
253;4281;3396;
254;4300;3415;
255;4319;3431;
256;4336;3448;
257;4357;3464;
258;4378;3482;
259;4399;3498;
260;4420;3515;
261;4441;3531;
262;4462;3550;
263;4483;3566;
264;4504;3583;
265;4525;3599;
266;4546;3617;
267;4567;3633;
268;4588;3650;
269;4609;3666;
270;4630;3686;
271;4651;3702;
272;4672;3719;
273;4693;3735;
274;4714;3753;
275;4735;3769;
276;4756;3786;
277;4777;3802;
278;4798;3821;
279;4819;3837;
280;4840;3854;
281;4861;3870;
282;4882;3888;
283;4903;3904;
284;4924;3921;
285;4945;3937;
286;4966;3958;
287;4987;3974;
288;5008;3991;
289;5029;4007;
290;5050;4025;
291;5071;4041;
292;5092;4058;
293;5113;4074;
294;5134;4093;
295;5155;4109;
296;5176;4126;
297;5197;4142;
298;5218;4160;
299;5239;4176;
300;5260;4193;
301;5281;4209;
302;5302;4229;
303;5323;4245;
304;5344;4262;
305;5365;4278;
306;5386;4296;
307;5407;4312;
308;5428;4329;
309;5449;4345;
310;5470;4364;
311;5491;4380;
312;5512;4397;
313;5533;4413;
314;5554;4431;
315;5575;4447;
316;5596;4464;
317;5617;4480;
318;5638;4502;
319;5659;4518;
320;5680;4535;
321;5701;4551;
322;5722;4569;
323;5743;4585;
324;5764;4602;
325;5785;4618;
326;5806;4637;
327;5827;4653;
328;5848;4670;
329;5869;4686;
330;5890;4704;
331;5911;4720;
332;5932;4737;
333;5953;4753;
334;5974;4773;
335;5995;4789;
336;6016;4806;
337;6037;4822;
338;6058;4840;
339;6079;4856;
340;6100;4873;
341;6121;4889;
342;6142;4908;
343;6163;4924;
344;6184;4941;
345;6205;4957;
346;6226;4975;
347;6247;4991;
348;6268;5008;
349;6289;5024;
350;6310;5045;
351;6331;5061;
352;6352;5078;
353;6373;5094;
354;6394;5112;
355;6415;5128;
356;6436;5145;
357;6457;5161;
358;6478;5180;
359;6499;5196;
360;6520;5213;
361;6541;5229;
362;6562;5247;
363;6583;5263;
364;6604;5280;
365;6625;5296;
366;6646;5316;
367;6667;5332;
368;6688;5349;
369;6709;5365;
370;6730;5383;
371;6751;5399;
372;6772;5416;
373;6793;5432;
374;6814;5451;
375;6835;5467;
376;6856;5484;
377;6877;5500;
378;6898;5518;
379;6919;5534;
380;6940;5551;
381;6961;5567;
382;6982;5588;
383;7003;5605;
384;7024;5623;
385;7045;5640;
386;7066;5659;
387;7087;5676;
388;7108;5694;
389;7129;5711;
390;7150;5731;
391;7171;5748;
392;7192;5766;
393;7213;5783;
394;7234;5802;
395;7255;5819;
396;7276;5837;
397;7297;5854;
398;7318;5875;
399;7339;5892;
400;7360;5910;
401;7381;5927;
402;7402;5946;
403;7423;5963;
404;7444;5981;
405;7465;5998;
406;7486;6018;
407;7507;6035;
408;7528;6053;
409;7549;6070;
410;7570;6089;
411;7591;6106;
412;7612;6124;
413;7633;6141;
414;7654;6163;
415;7675;6180;
416;7696;6198;
417;7717;6215;
418;7738;6234;
419;7759;6251;
420;7780;6269;
421;7801;6286;
422;7822;6306;
423;7843;6323;
424;7864;6341;
425;7885;6358;
426;7906;6377;
427;7927;6394;
428;7948;6412;
429;7969;6429;
430;7990;6450;
431;8011;6467;
432;8032;6485;
433;8053;6502;
434;8074;6521;
435;8095;6538;
436;8116;6556;
437;8137;6573;
438;8158;6593;
439;8179;6610;
440;8200;6628;
441;8221;6645;
442;8242;6664;
443;8263;6681;
444;8284;6699;
445;8305;6716;
446;8326;6739;
447;8347;6756;
448;8368;6774;
449;8389;6791;
450;8410;6810;
451;8431;6827;
452;8452;6845;
453;8473;6862;
454;8494;6882;
455;8515;6899;
456;8536;6917;
457;8557;6934;
458;8578;6953;
459;8599;6970;
460;8620;6988;
461;8641;7005;
462;8662;7026;
463;8683;7043;
464;8704;7061;
465;8725;7078;
466;8746;7097;
467;8767;7114;
468;8788;7132;
469;8809;7149;
470;8830;7169;
471;8851;7186;
472;8872;7204;
473;8893;7221;
474;8914;7240;
475;8935;7257;
476;8956;7275;
477;8977;7292;
478;8998;7314;
479;9019;7331;
480;9040;7349;
481;9061;7366;
482;9082;7385;
483;9103;7402;
484;9124;7420;
485;9145;7437;
486;9166;7457;
487;9187;7474;
488;9208;7492;
489;9229;7509;
490;9250;7528;
491;9271;7545;
492;9292;7563;
493;9313;7580;
494;9334;7601;
495;9355;7618;
496;9376;7636;
497;9397;7653;
498;9418;7672;
499;9439;7689;
500;9460;7707;
501;9481;7724;
502;9502;7744;
503;9523;7761;
504;9544;7779;
505;9565;7796;
506;9586;7815;
507;9607;7832;
508;9628;7850;
509;9649;7867;
510;9670;7889;
511;9691;7907;
512;9710;7926;
513;9733;7944;
514;9756;7964;
515;9779;7982;
516;9802;8001;
517;9825;8019;
518;9848;8040;
519;9871;8058;
520;9894;8077;
521;9917;8095;
522;9940;8115;
523;9963;8133;
524;9986;8152;
525;10009;8170;
526;10032;8192;
527;10055;8210;
528;10078;8229;
529;10101;8247;
530;10124;8267;
531;10147;8285;
532;10170;8304;
533;10193;8322;
534;10216;8343;
535;10239;8361;
536;10262;8380;
537;10285;8398;
538;10308;8418;
539;10331;8436;
540;10354;8455;
541;10377;8473;
542;10400;8496;
543;10423;8514;
544;10446;8533;
545;10469;8551;
546;10492;8571;
547;10515;8589;
548;10538;8608;
549;10561;8626;
550;10584;8647;
551;10607;8665;
552;10630;8684;
553;10653;8702;
554;10676;8722;
555;10699;8740;
556;10722;8759;
557;10745;8777;
558;10768;8799;
559;10791;8817;
560;10814;8836;
561;10837;8854;
562;10860;8874;
563;10883;8892;
564;10906;8911;
565;10929;8929;
566;10952;8950;
567;10975;8968;
568;10998;8987;
569;11021;9005;
570;11044;9025;
571;11067;9043;
572;11090;9062;
573;11113;9080;
574;11136;9104;
575;11159;9122;
576;11182;9141;
577;11205;9159;
578;11228;9179;
579;11251;9197;
580;11274;9216;
581;11297;9234;
582;11320;9255;
583;11343;9273;
584;11366;9292;
585;11389;9310;
586;11412;9330;
587;11435;9348;
588;11458;9367;
589;11481;9385;
590;11504;9407;
591;11527;9425;
592;11550;9444;
593;11573;9462;
594;11596;9482;
595;11619;9500;
596;11642;9519;
597;11665;9537;
598;11688;9558;
